tenor,eiopa_rfr_new_dec2025
YR1,0.02076
YR2,0.021630316
YR3,0.022828578
YR4,0.023862916
YR5,0.024787587
YR6,0.025648678
YR7,0.026510381
YR8,0.027239903
YR9,0.027925209
YR10,0.028630836
YR11,0.029208169
YR12,0.029747886
YR13,0.030333297
YR14,0.030730385
YR15,0.031074652
YR16,0.031330712
YR17,0.031556699
YR18,0.031757618
YR19,0.031937421
YR20,0.032099271
YR21,0.032132455
YR22,0.032163587
YR23,0.032192838
YR24,0.032220361
YR25,0.032246292
YR26,0.032270755
YR27,0.032293859
YR28,0.032315704
YR29,0.032336382
YR30,0.032355975
YR31,0.032374558
YR32,0.032392201
YR33,0.032408966
YR34,0.032424912
YR35,0.032440092
YR36,0.032454555
YR37,0.032468346
YR38,0.032481508
YR39,0.032494079
YR40,0.032506094
YR41,0.032517588
YR42,0.03252859
YR43,0.03253913
YR44,0.032549233
YR45,0.032558925
YR46,0.032568229
YR47,0.032577166
YR48,0.032585755
YR49,0.032594017
YR50,0.032601967
YR51,0.032609623
YR52,0.032617
YR53,0.032624111
YR54,0.032630971
YR55,0.032637591
YR56,0.032643984
YR57,0.032650161
YR58,0.032656132
YR59,0.032661906
YR60,0.032667494
YR61,0.032672903
YR62,0.032678142
YR63,0.032683218
YR64,0.032688139
YR65,0.032692911
YR66,0.032697542
YR67,0.032702036
YR68,0.0327064
YR69,0.03271064
YR70,0.032714759
YR71,0.032718765
YR72,0.03272266
YR73,0.032726449
YR74,0.032730137
YR75,0.032733728
YR76,0.032737225
YR77,0.032740631
YR78,0.032743951
YR79,0.032747188
YR80,0.032750344
YR81,0.032753422
YR82,0.032756426
YR83,0.032759357
YR84,0.032762219
YR85,0.032765014
YR86,0.032767745
YR87,0.032770412
YR88,0.032773019
YR89,0.032775568
YR90,0.032778061
YR91,0.032780498
YR92,0.032782883
YR93,0.032785216
YR94,0.0327875
YR95,0.032789736
YR96,0.032791926
YR97,0.03279407
YR98,0.032796171
YR99,0.032798229
YR100,0.032800246
YR101,0.032802224
YR102,0.032804162
YR103,0.032806063
YR104,0.032807928
YR105,0.032809756
YR106,0.032811551
YR107,0.032813312
YR108,0.03281504
YR109,0.032816737
YR110,0.032818402
YR111,0.032820038
YR112,0.032821645
YR113,0.032823223
YR114,0.032824773
YR115,0.032826297
YR116,0.032827794
YR117,0.032829266
YR118,0.032830713
YR119,0.032832135
YR120,0.032833534
