"Data","T","EUSA_pct","par_EIOPA_pct","scarto_bps"
"2025-12-31",1,2.1725,2.176,-0.4
"2025-12-31",2,2.262,2.2621,0
"2025-12-31",3,2.3815,2.3796,0.2
"2025-12-31",4,2.481,2.4797,0.1
"2025-12-31",5,2.569,2.5692,0
"2025-12-31",6,2.651,2.6511,0
"2025-12-31",7,2.73,2.732,-0.2
"2025-12-31",8,2.802,2.8,0.2
"2025-12-31",9,2.871,2.8635,0.7
"2025-12-31",10,2.927,2.9269,0
"2025-12-31",12,3.031,3.0272,0.4
"2025-12-31",15,3.146,3.1428,0.3
"2025-12-31",20,3.234,3.2331,0.1
"2026-01-30",1,2.1715,2.173,-0.1
"2026-01-30",2,2.2277,2.2274,0
"2026-01-30",3,2.326,2.3234,0.3
"2026-01-30",4,2.4226,2.4234,-0.1
"2026-01-30",5,2.51,2.5091,0.1
"2026-01-30",6,2.5903,2.591,-0.1
"2026-01-30",7,2.6676,2.6683,-0.1
"2026-01-30",8,2.7381,2.7381,0
"2026-01-30",9,2.8034,2.8044,-0.1
"2026-01-30",10,2.8628,2.8635,-0.1
"2026-01-30",12,2.9674,2.969,-0.2
"2026-01-30",15,3.0827,3.0837,-0.1
"2026-01-30",20,3.1724,3.1724,0
"2026-02-27",1,2.1441,2.144,0
"2026-02-27",2,2.1528,2.1519,0.1
"2026-02-27",3,2.213,2.2078,0.5
"2026-02-27",4,2.276,2.2758,0
"2026-02-27",5,2.3449,2.3432,0.2
"2026-02-27",6,2.417,2.4147,0.2
"2026-02-27",7,2.484,2.4837,0
"2026-02-27",8,2.5506,2.5499,0.1
"2026-02-27",9,2.6128,2.6118,0.1
"2026-02-27",10,2.6699,2.6685,0.1
"2026-02-27",12,2.771,2.7701,0.1
"2026-02-27",15,2.886,2.8853,0.1
"2026-02-27",20,2.979,2.977,0.2
"2026-03-31",1,2.7052,2.707,-0.2
"2026-03-31",2,2.837,2.7968,4
"2026-03-31",3,2.7988,2.8439,-4.5
"2026-03-31",4,2.8144,2.8568,-4.2
"2026-03-31",5,2.8406,2.8799,-3.9
"2026-03-31",6,2.8748,2.9121,-3.7
"2026-03-31",7,2.912,2.9484,-3.6
"2026-03-31",8,2.9528,2.9871,-3.4
"2026-03-31",9,2.9916,3.0254,-3.4
"2026-03-31",10,3.0298,3.0623,-3.3
"2026-03-31",12,3.1009,3.1321,-3.1
"2026-03-31",15,3.1732,3.2047,-3.1
"2026-03-31",20,3.1848,3.2194,-3.5
"2026-04-30",1,2.775,2.78,-0.5
"2026-04-30",2,2.849,2.851,-0.2
"2026-04-30",3,2.844,2.8474,-0.3
"2026-04-30",4,2.859,2.8524,0.7
"2026-04-30",5,2.8838,2.8809,0.3
"2026-04-30",6,2.9173,2.9138,0.3
"2026-04-30",7,2.9538,2.951,0.3
"2026-04-30",8,2.995,2.9932,0.2
"2026-04-30",9,3.0349,3.0297,0.5
"2026-04-30",10,3.0736,3.0778,-0.4
"2026-04-30",12,3.1434,3.1433,0
"2026-04-30",15,3.2206,3.2245,-0.4
"2026-04-30",20,3.2489,3.2536,-0.5
"2026-05-29",1,2.691,2.696,-0.5
"2026-05-29",2,2.717,2.7256,-0.9
"2026-05-29",3,2.713,2.7238,-1.1
"2026-05-29",4,2.7338,2.7354,-0.2
"2026-05-29",5,2.7635,2.7668,-0.3
"2026-05-29",6,2.801,2.8017,-0.1
"2026-05-29",7,2.843,2.8427,0
"2026-05-29",8,2.888,2.8869,0.1
"2026-05-29",9,2.932,2.9315,0
"2026-05-29",10,2.9759,2.9886,-1.3
"2026-05-29",12,3.056,3.0606,-0.5
"2026-05-29",15,3.1469,3.1595,-1.3
"2026-05-29",20,3.2049,3.2177,-1.3
